"","Family","Genus","Species","sci_name","nutrient_data","ctmax_estimate","gl_fish","SpecCode","SpeciesRefNo","FBname","Fresh","Brack","Saltwater","LongevityWild","Vulnerability","Length","LTypeMaxM","CommonLength","LTypeComM","Weight","Importance","DietTroph","DietSeTroph","DietRemark","FoodTroph","FoodSeTroph","FoodRemark","TLinfinity_mean","K_mean","TLinfinity_sd","K_sd"
"714","Stromateidae","Pampus","argentus","Pampus argentus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"715",NA,"Psetta","maxima","Psetta maxima","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"716","Soleidae","Solea","vulgaris","Solea vulgaris","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"717","Characidae","Mylossoma","orbignyanum","Mylossoma orbignyanum","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"718","Characidae","Mylossoma","Paraguayensis","Mylossoma Paraguayensis","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"719","Characidae","Myloplus","levis","Myloplus levis","Y",NA,NA,51156,39031,NA,1,0,0,NA,14.4,20,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720","Characidae","Metynnis","mola","Metynnis mola","Y",NA,NA,53328,34077,NA,1,0,0,NA,10,15,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721","Characidae","Metynnis","maculatus","Metynnis maculatus","Y",NA,NA,11940,34077,"Spotted metynnis",1,0,0,NA,10,18,"TL",NA,NA,NA,"minor commercial",NA,NA,NA,2.9,0.32,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"722","Cheilodactylidae","Cheilodactylus","variegatus","Cheilodactylus variegatus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723",NA,"Brama","australis","Brama australis","Y",NA,NA,54793,31416,"Southern rays bream",0,0,1,NA,42.94,47,"SL",NA,NA,NA,"commercial",NA,NA,NA,4.03,0.63,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"724","Pinguipedidae","Prolatilus","jugularis","Prolatilus jugularis","Y",NA,NA,12917,27569,"Pacific sandperch",1,1,1,NA,30,40,"TL",NA,NA,199,"commercial",NA,NA,NA,3.7,0.56,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"725","Carangidae","Trachurus","murphyi","Trachurus murphyi","Y",NA,NA,367,9283,"Chilean jack mackerel",0,0,1,16,66.93,70,"TL",45,"FL",NA,"highly commercial",3.33,0.17,"Troph of juv./adults from 1 study.",3.49,0.48,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.1136,NA,0.0365093595305825
"726","Paralichthyidae","Paralichthys","adspersus","Paralichthys adspersus","Y",NA,NA,10573,11035,"Fine flounder",0,0,1,NA,48,70,"TL",NA,NA,NA,"commercial",NA,NA,NA,3.96,0.55,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"727","Mugilidae","Chelon","saliens","Chelon saliens","Y",NA,NA,1736,3573,"Leaping mullet",0,1,1,NA,45.17,40,"SL",30,"TL",NA,"minor commercial",NA,NA,NA,2.94,0.38,"Trophic level estimated from a number of food items using a randomized resampling routine.",38.1415246153846,0.250461538461538,10.1585211641226,0.077373138517851
"728",NA,"Pseudosciaena","crocea","Pseudosciaena crocea","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"729",NA,"Hypsibarbus","pierrei","Hypsibarbus pierrei","Y",NA,NA,54660,94476,NA,1,0,0,NA,26.9,36.9000015258789,"TL",NA,NA,733.200012207031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"730",NA,"Liposarcus","multiradiatus","Liposarcus multiradiatus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"731",NA,"Hemiculter","leucisculus","Hemiculter leucisculus","Y",NA,NA,4755,1441,"Sharpbelly",1,1,0,NA,43.17,29,"TL",16.8999996185303,"SL",232.300003051758,"minor commercial",NA,NA,NA,2.75,0.32,"Trophic level estimated from a number of food items using a randomized resampling routine.",26.4833333333333,0.243333333333333,5.79662257985918,0.096588474122606
"732","Cyprinidae","Carassius","auratus","Carassius auratus","Y","Y","Y",271,7050,"Goldfish",1,1,0,41,36.52,48,"TL",10,"TL",1598.59997558594,"commercial",2,NA,"Troph of adults from 1 study.",2.86,0.31,"Trophic level estimated from a number of food items using a randomized resampling routine.",29.954805,0.2245,1.49171953665895,0.0841457069611991
"733","Chlorophthalmidae","Chlorophthalmus","agassizi","Chlorophthalmus agassizi","Y",NA,NA,1808,3590,"Shortnose greeneye",0,1,1,NA,30,40,"TL",20,"SL",NA,"minor commercial",3.66,NA,"Troph of adults from 1 study.",3.17,0.37,"Trophic level estimated from a number of food items using a randomized resampling routine.",18.9,0.24,0,0
"734","Curimatidae","Prochilodus","nigricans","Prochilodus nigricans","Y",NA,NA,11894,37057,"Black prochilodus",1,0,0,NA,31.48,48.5,"SL",NA,NA,3005,"commercial",NA,NA,NA,2.38,0.18,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.430161666666667,NA,0.0510181828044342
"735","Pimelodidae","Brachyplatystoma","filamentosum","Brachyplatystoma filamentosum","Y",NA,NA,6420,36506,"Kumakuma",1,1,0,NA,90,360,"TL",120,"TL",2e+05,"commercial",NA,NA,NA,4.47,0.79,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"736","Pimelodidae","Brachyplatystoma","flavicans","Brachyplatystoma flavicans","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"737","Cyprinidae","Carasobarbus","luteus","Carasobarbus luteus","Y",NA,NA,54718,33304,"Yellow barbell",1,0,0,NA,38.5,48.5,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2142857142857,0.2546,16.1377847066472,0.244810511756882
"738","Cyprinidae","Cyprinion","macrostomum","Cyprinion macrostomum","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"739","Clupeidae","Sardinella","gibbosa","Sardinella gibbosa","Y",NA,NA,1508,114969,"Goldstripe sardinella",0,0,1,7,19,29.6000003814697,"TL",15,"SL",NA,"highly commercial",NA,NA,NA,2.85,0.3,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,1.36988888888889,NA,0.91900725778923
"740","Osteoglossidae","Arapaima","gigas","Arapaima gigas","Y",NA,NA,2076,50891,"Arapaima",1,0,0,NA,53.97,450,"TL",200,"TL",2e+05,"commercial",4.5,NA,"Troph of adults from 1 study.",4.5,0.8,"Trophic level estimated from a number of food items using a randomized resampling routine.",317,0.1769,97.5807358037436,0.110732921933813
"741","Malacanthidae","Caulolatilus","princeps","Caulolatilus princeps","Y",NA,NA,3539,8991,"Ocean whitefish",0,0,1,NA,61.2,102,"TL",NA,NA,5760,"commercial",NA,NA,NA,3.61,0.45,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"742","Serranidae","Mycteroperca","olfax","Mycteroperca olfax","Y",NA,NA,8204,5222,"Sailfin grouper",0,0,1,NA,60.77,120,"TL",NA,NA,NA,"commercial",NA,NA,NA,4.5,0.8,"Trophic level estimated from a number of food items using a randomized resampling routine.",104.666666666667,0.139223333333333,6.21825270205921,0.0267306510707589
"743","Centrolophidae","Seriolella","violacea","Seriolella violacea","Y",NA,NA,13020,9174,"Palm ruff",0,0,1,NA,46,65,"TL",35,"TL",NA,"commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"744","Mugilidae","Chelon","labrosus","Chelon labrosus","Y",NA,NA,2499,3573,"Thicklip grey mullet",1,1,1,25,63.47,75,"SL",32,"SL",4500,"commercial",NA,NA,NA,2.59,0.32,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.2295,NA,0.0913698776701301
"745","Tetraodontidae","Takifugu","oblongus","Takifugu oblongus","Y",NA,NA,8301,559,"Lattice blaasop",0,1,1,NA,30,40,"TL",NA,NA,NA,"of no interest",NA,NA,NA,3.16,0.44,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"746","Tetraodontidae","Lagocephalus","guentheri","Lagocephalus guentheri","Y",NA,NA,28209,11441,"Diamondback puffer",0,0,1,NA,27.4,37.4000015258789,"TL",NA,NA,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"747","Tetraodontidae","Arothron","hispidus","Arothron hispidus","Y",NA,NA,5425,1602,"White-spotted puffer",0,1,1,NA,40,50,"TL",NA,NA,2010,"minor commercial",3.24,NA,"Troph of adults from 1 study.",3.09999990463257,0.3797,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"748",NA,"Chelonodon","patoca","Chelonodon patoca","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"749","Tetraodontidae","Arothron","immaculatus","Arothron immaculatus","Y",NA,NA,7188,5170,"Immaculate puffer",0,1,1,NA,27.5,37.5,"TL",NA,NA,775,"minor commercial",NA,NA,NA,3.32,0.24,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"750","Clupeidae","Sardinella","albella","Sardinella albella","Y",NA,NA,1502,114969,"White sardinella",0,1,1,NA,10,15,"TL",10,"SL",35.560001373291,"commercial",NA,NA,NA,2.62,0.14,"Trophic level estimated from a number of food items using a randomized resampling routine.",14.4,1.41314285714286,1.72723285440422,0.330935758404069
"751","Clupeidae","Dussumieria","acuta","Dussumieria acuta","Y",NA,NA,1453,127773,"Rainbow sardine",1,1,1,NA,20.07,20,"SL",NA,NA,NA,"highly commercial",NA,NA,NA,3.4,0.45,"Tentative trophic level derived from 1 + troph of a single food item",19.95,0.73,NA,NA
"752","Ariidae","Arius","subrostratus","Arius subrostratus","Y",NA,NA,1295,3290,"Shovelnose sea catfish",0,1,1,NA,34.28,39.5,"NG",12,"TL",NA,"commercial",NA,NA,NA,2.83,0.31,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"753","Hemiramphidae","Hemiramphus","far","Hemiramphus far","Y",NA,NA,5404,10943,"Black-barred halfbeak",0,1,1,4,35,45,"TL",30,"TL",NA,"commercial",NA,NA,NA,2.69,0.3,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"754","Serranidae","Cephalopholis","boenak","Cephalopholis boenak","Y",NA,NA,6444,5222,"Chocolate hind",0,0,1,11,20,30,"TL",NA,NA,NA,"subsistence fisheries",4.07,0.62,"Troph of juv./adults from 1 study.",3.83,0.61,"Trophic level estimated from a number of food items using a randomized resampling routine.",18.21758,0.49,NA,NA
"755","Carangidae","Carangoides","chrysophrys","Carangoides chrysophrys","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"756","Lutjanidae","Lutjanus","fulvus","Lutjanus fulvus","Y",NA,NA,262,55,"Blacktail snapper",1,1,1,34,29.2,40,"TL",25,"TL",NA,"commercial",3.61,0.46,"Troph of juv./adults from 1 study.",3.76,0.55,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.201792,NA,0.155864632838884
"757","Mullidae","Parupeneus","indicus","Parupeneus indicus","Y",NA,NA,5992,54393,"Indian goatfish",0,1,1,NA,35,45,"TL",35,"TL",NA,"commercial",NA,NA,NA,3.5,0.37,"Tentative trophic level derived from 1 + troph of a single food item",NA,NA,NA,NA
"758","Mugilidae","Valamugil","seheli","Valamugil seheli","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"759",NA,"Atule","mate","Atule mate","Y",NA,NA,1893,7300,"Yellowtail scad",0,1,1,NA,17.92,30,"TL",26,"TL",NA,"minor commercial",4.22,0.498,"Troph of juv./adults from 2 studies.",3.27,0.46,"Trophic level estimated from a number of food items using a randomized resampling routine.",30.17277625,0.89625,3.35719553693231,0.18905309156047
"760",NA,"Hemirhamphus","georgii","Hemirhamphus georgii","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"761","Mastacembelidae","Mastacembelus","pancalus","Mastacembelus pancalus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"762","Chandidae","Pseudambassis","ranga","Pseudambassis ranga","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"763","Cyprinidae","Puntius","ticto","Puntius ticto","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764","Muraenesocidae","Muraenesox","talabon","Muraenesox talabon","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"765","Carangidae","Caranx","sansun","Caranx sansun","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"766","Carcharhinidae","Scoliodon","sorrakowah","Scoliodon sorrakowah","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"767",NA,"Tachysurus","zona","Tachysurus zona","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"768","Cyprinidae","Barbodes","altus","Barbodes altus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"769","Cyprinidae","Esomus","longilamus","Esomus longilamus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"770","Cyprinidae","Danio","dangila","Danio dangila","Y","Y",NA,24381,101154,NA,1,0,0,NA,10,15,"TL",NA,NA,NA,"of no interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"771","Channidae","Channa","striatus","Channa striatus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"772","Mugilidae","Liza","parsia","Liza parsia","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"773","Salmonidae","Salvelinus","naresi","Salvelinus naresi","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"774",NA,"Aspius","aspius","Aspius aspius","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"775","Leuciscidae","Leuciscus","cephalus","Leuciscus cephalus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"776","Serranidae","Centropristis","striata","Centropristis striata","Y",NA,NA,361,7251,"Black seabass",0,0,1,20,32.35,66,"TL",30,"TL",4300,"commercial",3.89,0.194,"Troph of juv./adults from 4 studies.",3.66,0.61,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.2987,NA,0.122585330824423
"777","Salmonidae","Coregonus","artedi","Coregonus artedi","Y","Y","Y",235,86798,"Cisco",1,1,1,11,36.63,57,"TL",29.25,"TL",3350,"commercial",NA,NA,NA,3.35,0.4,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.29315,NA,0.15312337255371
"778","Acipenseridae","Acipenser","fulvescens","Acipenser fulvescens","Y",NA,"Y",2591,5723,"Lake sturgeon",1,1,0,152,86.02,274,"TL",97.5,"TL",125000,"commercial",NA,NA,NA,3.27999997138977,0.49,"Trophic level estimated from a number of food items using a randomized resampling routine.",179.625,0.037425,25.4217988573361,0.0104013391994905
"779","Umbridae","Dallia","pectoralis","Dallia pectoralis","Y",NA,NA,2705,5723,"Alaska blackfish",1,0,0,8,23,33,"TL",10.75,"TL",366,"subsistence fisheries",NA,NA,NA,3.31,0.44,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"780","Gadidae","Eleginus","gracilis","Eleginus gracilis","Y",NA,NA,315,1371,"Saffron cod",1,1,1,15,47.01,55,"TL",NA,NA,1300,"highly commercial",4.1,0.58,"Troph of juv./adults from 1 study.",3.78,0.56,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.227071538461538,NA,0.111198277025943
"781","Ictaluridae","Ameiurus","nebulosus","Ameiurus nebulosus","Y","Y","Y",3022,86798,"Brown bullhead",1,0,0,9,38.12,55,"TL",25,"TL",2740,"minor commercial",3.68,0.117,"Troph of juv./adults from 3 studies.",3.27999997138977,0.4516,"Trophic level estimated from a number of food items using a randomized resampling routine.",48.0333333333333,0.339756666666667,10.4374725548541,0.115523788170806
"782","Osmeridae","Hypomesus","olidus","Hypomesus olidus","Y",NA,NA,254,33312,"Pond smelt",1,1,1,10,10,20,"TL",11.25,"TL",50,"commercial",3.21,0.32,"Troph of juv./adults from 1 study.",2.92,0.26,"Trophic level estimated from a number of food items using a randomized resampling routine.",11.5,1.65,NA,NA
"783","Gadidae","Microgadus","tomcod","Microgadus tomcod","Y","Y",NA,316,1371,"Atlantic tomcod",1,1,1,NA,28.1,38.0999984741211,"TL",NA,NA,NA,"minor commercial",NA,NA,NA,3.81,0.5,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"784","Sciaenidae","Micropogonias","undulatus","Micropogonias undulatus","Y",NA,NA,408,7251,"Atlantic croaker",0,1,1,5,37.64,55,"TL",30,"TL",2580,"commercial",NA,NA,NA,4,0.5,"Tentative trophic level derived from 1 + troph of a single food item",NA,0.468857142857143,NA,0.438599068463606
"785","Sciaenidae","Aplodinotus","grunniens","Aplodinotus grunniens","Y","Y","Y",3577,86798,"Freshwater drum",1,0,0,13,58,95,"TL",45,"TL",24720,"minor commercial",NA,NA,NA,3.36,0.43,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"786","Gadidae","Boreogadus","saida","Boreogadus saida","Y",NA,NA,319,1371,"Polar cod",0,1,1,7,45.92,40,"TL",25,"TL",NA,"highly commercial",3.12,0.111,"Troph of juv./adults from 2 studies.",3.41,0.73,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.313307692307692,NA,0.147414599353538
"787","Clupeidae","Brevoortia","tyrannus","Brevoortia tyrannus","Y",NA,NA,1592,188,"Atlantic menhaden",0,1,1,NA,30.33,50,"TL",NA,NA,NA,"highly commercial",3.23,0.17,"Troph of juv./adults from 2 studies.",2.61,0.19,"Trophic level estimated from a number of food items using a randomized resampling routine.",35.5744186046512,0.424790697674419,6.40621324233843,0.181159040642869
"788","Pleuronectidae","Pseudopleuronectes","americanus","Pseudopleuronectes americanus","Y","Y",NA,524,122998,"Winter flounder",0,0,1,14,33.64,64,"TL",NA,NA,3600,"commercial",3.62,0.077,"Troph of juv./adults from 5 studies.",3.08,0.54,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.38425,NA,0.205739967460205
"789","Gasterosteidae","Pungitius","pungitius","Pungitius pungitius","Y",NA,"Y",3273,5723,"Ninespine stickleback",1,1,1,5,10,9,"TL",6.5,"NG",NA,"subsistence fisheries",3.32,0.095,"Troph of juv./adults from 8 studies.",3.35,0.42,"Trophic level estimated from a number of food items using a randomized resampling routine.",4.3,1.6,NA,NA
"790","Catostomidae","Catostomus","catostomus","Catostomus catostomus","Y","Y","Y",2962,5723,"Longnose sucker",1,1,0,20,45.6,64,"TL",22.5,"TL",3300,"minor commercial",2.54,0.264,"Troph of adults from 2 studies.",3.10999989509583,0.39,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"791",NA,"Scorpena","scrofa","Scorpena scrofa","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"792","Triglidae","Trigla","lucerna","Trigla lucerna","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"793","Colletidae","Euryglossa","panoides","Euryglossa panoides","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794","Cyprinidae","Osteochilus","hasselti","Osteochilus hasselti","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"795","Osphronemidae","Colisa","fasciatus","Colisa fasciatus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"796","Salmonidae","Coregonus","nasus","Coregonus nasus","Y","Y",NA,2674,3814,"Broad whitefish",1,1,0,15,65,71,"TL",46,"TL",16000,"commercial",3.45,0.136,"Troph of juv./adults from 4 studies.",3.28,0.44,"Trophic level estimated from a number of food items using a randomized resampling routine.",63.4574475,0.1680625,12.1475930159515,0.0566621199156309
"797","Protopteridae","Protopterus","aethiopicus","Protopterus aethiopicus","Y",NA,NA,8734,3498,"Marbled lungfish",1,0,0,NA,90,200,"TL",130,"TL",17000,"minor commercial",4.4,0.19,"Troph of adults.",3.43,0.69,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"798","Protopteridae","Protopterus","aethiopicus","Protopterus aethiopicus","Y",NA,NA,8734,3498,"Marbled lungfish",1,0,0,NA,90,200,"TL",130,"TL",17000,"minor commercial",4.4,0.19,"Troph of adults.",NA,NA,NA,NA,NA,NA,NA
"799","Dasyatidae","Dasyatis","americana","Dasyatis americana","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800","Mochokidae","Synodontis","victoriae","Synodontis victoriae","Y",NA,NA,9638,3202,"Lake Victoria squeaker",1,0,0,NA,37.61,35,"SL",NA,NA,NA,NA,NA,NA,NA,3.28,0.48,"Trophic level estimated from a number of food items using a randomized resampling routine.",40,0.24,NA,NA
"801","Bagridae","Bagrus","docmak","Bagrus docmak","Y",NA,NA,6519,7324,"Semutundu",1,0,0,5,56.52,127,"TL",62,"TL",35000,"commercial",NA,NA,NA,4.08,0.95,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.1236,NA,0.0901125222522745
"802","Cichlidae","Tilapia","zilli","Tilapia zilli","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"803","Atherinidae","Atherina","lagunae","Atherina lagunae","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"804","Clupeidae","Brevoortia","aurea","Brevoortia aurea","Y",NA,NA,1587,188,"Brazilian menhaden",0,0,1,NA,24.4,34.4000015258789,"TL",NA,NA,NA,"commercial",NA,NA,NA,2.75,0.31,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"805","Cyprinidae","Rastrineobola","argentea","Rastrineobola argentea","Y",NA,NA,281,2801,"Silver cyprinid",1,0,0,3,14.4,8,"TL",NA,NA,NA,"highly commercial",NA,NA,NA,3.41,0.49,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.924,NA,0.125817327900413
"806","Macrouridae","Albatrossia","pectoralis","Albatrossia pectoralis","Y",NA,NA,8435,1371,"Giant grenadier",0,0,1,56,70.01,210,"TL",85,NA,86000,"commercial",4.3,0.66,"Troph of juv./adults from 1 study.",3.88,0.54,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.134,NA,0.0528285637023868
"807","Salmonidae","Coregonus","macrophthalmus","Coregonus macrophthalmus","Y",NA,NA,28065,13696,"Gangfisch",1,0,0,NA,26.6,30,"SL",NA,NA,NA,NA,NA,NA,NA,3.3,0.43,"Trophic level estimated from a number of food items using a randomized resampling routine.",40.1222222222222,0.398555555555556,3.01611412987713,0.187534070978523
"808","Cyprinidae","Puntius","brevis","Puntius brevis","Y",NA,NA,22821,7050,NA,1,0,0,NA,10,14,"TL",NA,NA,NA,NA,NA,NA,NA,2.91,0.33,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"809","Serranidae","Cephalopholis","taeniops","Cephalopholis taeniops","Y",NA,NA,4936,5222,"Bluespotted seabass",0,0,1,NA,56.4,70,"TL",40,"TL",NA,"minor commercial",NA,NA,NA,4.5,0.8,"Tentative trophic level derived from 1 + troph of a single food item",53.925,0.1424,0.530330085889911,0.0104651803615609
"810","Clupeidae","Clupea","pallasi","Clupea pallasi","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"811","Scophthalmidae","Scophthalmus","maeoticus","Scophthalmus maeoticus","Y",NA,NA,57861,37783,"Black Sea turbot",0,0,1,NA,35,45,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"812","Carangidae","Alectis","alexandrinus","Alectis alexandrinus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"813",NA,"Aspitrigla","cuculus","Aspitrigla cuculus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
